"System","Unit Type","Unit Name","Unit Symbol","Prefix Scale","Prefix Exponents To Include","Base Unit System","Base Unit","Coefficient","Offset","Sort Index"
"Astronomical","Length","light-year","ly","SI","Positive","SI","meter","9_460_730_472_580_800.0","0","1"
"Astronomical","Length","light-second","ls",,,"SI","meter","299_792_458.0","0","2"
"Astronomical","Length","light-minute","lm",,,"Astronomical","light-second","60.0","0","3"
"Astronomical","Length","astronomical unit","AU",,,"SI","kilometer","149597870.691","0","4"
"Astronomical","Length","light-hour","lh",,,"Astronomical","light-minute","60.0","0","5"
"Astronomical","Length","light-day","ld",,,"Astronomical","light-hour","24.0","0","6"
"Astronomical","Length","light-week","lw",,,"Astronomical","light-day","7.0","0","7"
"Astronomical","Length","parsec","pc","SI","Positive","Astronomical","light-year","3.2615637769757","0","8"
"Astronomical","Length","earth radius","R(⊕)",,,"SI","kilometer","6_371.0","0","9"
"Astronomical","Length","jovian radius","R(J)",,,"SI","kilometer","69_911.0","0","10"
"Astronomical","Length","lunar radius","R(L)",,,"SI","kilometer","1_737.4","0","11"
"Astronomical","Length","mars radius","R(♂)",,,"SI","kilometer","3_389.5","0","12"
"Astronomical","Length","solar radius","R(☉)",,,"SI","kilometer","695_700.0","0","13"
"Astronomical","Length","earth diameter","D(⊕)",,,"Astronomical","earth radius","2.0","0","14"
"Astronomical","Length","jovian diameter","D(J)",,,"Astronomical","jovian radius","2.0","0","15"
"Astronomical","Length","lunar diameter","D(L)",,,"Astronomical","lunar radius","2.0","0","16"
"Astronomical","Length","mars diameter","D(♂)",,,"Astronomical","mars radius","2.0","0","17"
"Astronomical","Length","solar diameter","D(☉)",,,"Astronomical","solar radius","2.0","0","18"
"Astronomical","Length","earth circumference","C(⊕)",,,"Astronomical","earth diameter","Math.PI","0","19"
"Astronomical","Length","jovian circumference","C(J)",,,"Astronomical","jovian diameter","Math.PI","0","20"
"Astronomical","Length","lunar circumference","C(L)",,,"Astronomical","lunar diameter","Math.PI","0","21"
"Astronomical","Length","mars circumference","C(♂)",,,"Astronomical","mars diameter","Math.PI","0","22"
"Astronomical","Length","solar circumference","C(☉)",,,"Astronomical","solar diameter","Math.PI","0","23"
"Astronomical","Mass","earth mass","M(⊕)",,,"SI","kilogram","5.9722E+24","0","1"
"Astronomical","Mass","jovian mass","M(J)",,,"SI","kilogram","1.89813E+27","0","2"
"Astronomical","Mass","lunar mass","M(L)",,,"SI","kilogram","7.35E+22","0","3"
"Astronomical","Mass","mars mass","M(♂)",,,"SI","kilogram","6.39E+23","0","4"
"Astronomical","Mass","solar mass","M(☉)",,,"SI","kilogram","1.989E+30","0","5"
"Data","Storage","bit","b","Data Scale","All","Data","bit","1d","0","0"
"Data","Storage","nybble","n","Data Scale","All","Data","bit","4d","0","1"
"Data","Storage","byte","B","Data Scale","All","Data","nybble","2d","0","2"
"Data","Transfer Rate","bits per second","b/s","Data Scale","All","Data","bits per second","1d","0","0"
"Data","Transfer Rate","nybbles per second","n/s","Data Scale","All","Data","bits per second","4d","0","1"
"Data","Transfer Rate","bytes per second","B/s","Data Scale","All","Data","nybbles per second","2d","0","2"
"Imperial","Amount","count","ct.","Long Scale","Positive",,"count","1.0","0","0"
"Imperial","Amount","quantity","qty.","Long Scale","Positive",,"count","1.0","0","1"
"Imperial","Area","perch","perch",,,"Imperial","square foot","272.25","0","1"
"Imperial","Area","rood","rood",,,"Imperial","perch","40.0","0","2"
"Imperial","Area","acre","acre",,,"Imperial","rood","4.0","0","3"
"Imperial","Length","inch","in",,,"SI","centimeter","2.54","0","0"
"Imperial","Length","foot","ft",,,"Imperial","inch","12","0","1"
"Imperial","Length","twip","twip",,,"Imperial","foot","1.0/17280.0","0","2"
"Imperial","Length","thou","th",,,"Imperial","foot","1.0/12000.0","0","3"
"Imperial","Length","barleycorn","barleycorn",,,"Imperial","foot","1.0/36.0","0","4"
"Imperial","Length","hand","hh",,,"Imperial","inch","4.0","0","5"
"Imperial","Length","yard","yd",,,"Imperial","foot","3.0","0","6"
"Imperial","Length","chain","ch",,,"Imperial","yard","22.0","0","7"
"Imperial","Length","furlong","fur",,,"Imperial","chain","10.0","0","8"
"Imperial","Length","mile","mi",,,"Imperial","furlong","8.0","0","9"
"Imperial","Length","league","lea",,,"Imperial","mile","3.0","0","10"
"Imperial","Length","fathom","ftm",,,"Imperial","foot","6.0","0","11"
"Imperial","Length","cable","cable",,,"Imperial","fathom","100.0","0","12"
